sequence,gender,generation,education_type,locality,religion,how_often,partner,marriage,break,divorce,education,work,sep_from_par,child,p_m,p_b,p_d,p_e,p_w,p_s,p_c,m_b,m_d,m_e,m_w,m_s,m_c,b_d,b_e,b_w,b_s,b_c,d_e,d_w,d_s,d_c,e_w,e_s,e_c,w_s,w_c,s_c
swecmd,m,0,professional,town,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,>,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,<
wmces,m,0,professional,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,>,<,<,n,>,>,>,>,>,>,>,>,>,<,>,<,<,>
wemsc,m,1,general,village,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,=,<,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wsemcp,m,1,higher,city,yes,min_once_a_month,1,1,0,0,1,1,1,1,>,<,<,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,>,>,<,<,<,<
ewpsb,m,1,higher,city,yes,never,1,0,1,0,1,1,1,0,<,<,<,>,>,=,<,>,n,>,>,>,n,<,>,>,>,<,>,>,>,n,<,<,<,<,<,<
sew,m,1,general,city,yes,sev_a_year,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,<,>,<,>,<,<
ecwms,m,0,higher,city,yes,sev_a_year,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,<,>,n,>,>,>,>,>,>,>,>,<,<,=,<,>,>
emswd,m,1,professional,city,yes,sev_a_year,0,1,0,1,1,1,1,0,>,n,>,>,>,>,n,<,<,>,<,<,<,>,>,>,>,n,>,>,>,<,<,<,<,>,<,<
sewmdp,m,1,higher,village,no,never,1,1,0,1,1,1,1,0,>,<,>,>,>,>,<,<,<,>,>,>,<,>,>,>,>,n,>,>,>,<,<,>,<,>,<,<
ew,m,1,professional,city,yes,sev_a_year,0,0,0,0,1,1,0,0,n,n,n,>,>,n,n,n,n,>,>,n,n,n,>,>,n,n,>,>,n,n,=,<,<,<,<,n
ewmscd,m,0,professional,village,yes,sev_a_year,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,>,>,=,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
wpsemcbd,m,1,general,city,yes,never,1,1,1,1,1,1,1,1,<,<,<,<,>,=,<,<,<,>,>,>,<,=,>,>,>,>,>,>,>,>,>,>,<,<,<,<
mewscd,m,0,professional,city,yes,never,0,1,0,1,1,1,1,1,>,n,>,>,>,>,>,<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,<,<,<,<,<,<
sewmc,m,0,general,village,yes,min_once_a_month,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,>,<,>,<,<
swe,m,1,higher,village,no,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,>,>,<,>,<,<
wes,m,1,professional,city,yes,never,0,0,0,0,1,1,1,0,n,n,n,>,>,>,n,n,n,>,>,>,n,n,>,>,>,n,>,>,>,n,>,<,<,<,<,<
ewsmc,m,1,general,village,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,>,>,>,<,n,>,>,>,>,>,>,>,>,<,<,<,<,<,<
smwce,m,0,higher,city,no,never,0,1,0,0,1,1,1,1,>,n,n,>,>,>,>,<,<,<,<,>,<,n,>,>,>,>,>,>,>,>,>,>,>,>,<,<
wespmc,m,0,professional,city,yes,never,1,1,0,0,1,1,1,1,<,<,<,>,>,>,<,<,<,>,>,>,=,n,>,>,>,>,>,>,>,>,>,<,<,<,<,<
wpbes,m,0,general,city,yes,never,1,0,1,0,1,1,1,0,<,<,<,<,>,<,<,>,n,>,>,>,n,<,<,>,<,<,>,>,>,n,>,<,<,<,<,<
