gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;last_ev
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;sep
f;general;village;yes;once_a_week;1g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;div
m;professional;village;yes;never;11g;1;1;0;0;0;1;1;1;child
f;professional;village;yes;never;9g;1;1;1;0;1;1;1;1;div
f;professional;village;yes;sev_a_year;6g;1;1;0;1;1;1;1;1;br
f;general;village;yes;never;1g;0;0;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;1g;1;0;0;0;1;1;1;1;br
f;professional;village;yes;sev_a_year;4g;1;1;1;0;1;0;1;1;sep
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;9g;1;1;0;0;1;1;1;0;education
f;professional;village;yes;never;2g;1;1;0;0;1;1;1;1;br
f;general;village;yes;sev_a_year;5g;1;1;0;1;1;1;1;1;br
f;general;village;yes;sev_a_year;2g;0;0;0;0;0;1;1;1;child
m;professional;village;yes;never;6g;1;0;1;0;1;1;1;1;marriage
f;professional;village;yes;never;5g;0;1;0;1;1;1;1;1;partner
m;higher;village;yes;never;4g;0;1;0;0;1;1;1;0;education
f;professional;village;yes;never;9g;0;1;0;1;1;1;1;1;partner
m;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;9g;0;0;0;0;1;0;1;1;sep
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;child
m;professional;village;yes;never;8g;1;0;0;0;1;1;1;1;marriage
m;general;village;yes;never;1g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;child
m;general;village;yes;never;1g;1;1;0;0;1;1;1;1;br
m;general;village;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;3g;0;1;0;0;1;0;1;1;sep
f;higher;village;yes;never;9g;0;1;0;0;1;0;1;1;sep
f;general;village;yes;sev_a_year;3g;0;1;0;0;1;0;1;1;sep
m;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;4g;0;1;0;0;1;0;1;1;sep
f;general;village;yes;never;8g;0;1;0;0;0;1;1;1;child
m;general;village;yes;never;7g;1;1;0;0;1;1;1;1;br
f;professional;village;yes;sev_a_year;7g;0;1;0;0;1;1;0;1;work
f;general;village;yes;sev_a_year;3g;1;1;0;0;1;1;1;1;br
m;professional;village;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;child
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;sep
m;professional;village;yes;never;6g;1;1;0;1;1;1;1;1;br
f;general;village;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;1g;0;1;0;0;1;0;1;1;sep
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;child
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;5g;0;0;0;0;0;1;1;1;child
f;professional;village;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;child
f;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;child
f;general;village;yes;sev_a_year;2g;1;1;0;1;1;1;1;1;br
f;professional;village;yes;sev_a_year;8g;0;1;0;0;1;1;1;1;div
f;professional;village;yes;never;10g;0;1;0;0;1;1;0;1;work
m;professional;village;yes;never;4g;0;1;0;0;1;1;1;1;partner
f;professional;village;yes;never;6g;0;1;0;0;1;0;1;1;sep
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;child
m;professional;village;yes;never;6g;0;1;0;0;1;1;1;1;partner
