partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
282;609;312;;218;186;514;291;professional;village;yes;never;6g;m
565;244;;509;294;206;317;261;professional;village;yes;never;5g;f
;281;;;439;294;262;412;higher;village;yes;never;4g;m
400;224;;319;221;222;248;234;professional;village;yes;never;9g;f
;284;;;237;263;284;293;professional;village;yes;never;8g;m
;;;;270;272;346;320;professional;village;yes;never;9g;f
;240;;;231;258;196;260;professional;village;yes;never;6g;m
;259;;;230;230;254;289;professional;village;yes;never;6g;m
;;;;132;251;280;355;general;village;yes;sev_a_year;1g;f
;251;;;157;192;256;271;general;village;yes;sev_a_year;1g;f
;;;;153;201;281;293;general;village;yes;sev_a_year;1g;f
278;320;;;283;243;301;283;professional;village;yes;never;8g;m
;284;;;169;136;302;305;general;village;yes;never;1g;m
;288;;;208;277;278;302;professional;village;yes;never;5g;m
;220;;;201;175;220;242;general;village;yes;sev_a_year;2g;f
;263;;;209;209;263;272;general;village;yes;sev_a_year;5g;f
243;260;885;;155;242;243;259;general;village;yes;never;1g;m
;301;;;209;212;261;309;general;village;yes;sev_a_year;3g;m
;288;;;221;245;393;298;professional;village;yes;never;3g;m
;272;;;253;256;412;280;higher;village;yes;never;9g;f
;231;;;172;207;270;245;general;village;yes;sev_a_year;3g;f
;296;;;312;289;216;357;professional;village;yes;never;2g;m
;248;;;206;249;185;265;professional;village;yes;never;6g;f
;306;;;183;221;306;315;general;village;yes;sev_a_year;3g;f
;344;;;228;254;424;296;professional;village;yes;never;4g;m
;212;;;209;211;212;223;general;village;yes;never;8g;f
290;303;562;;310;331;309;301;general;village;yes;never;7g;m
;234;;;242;395;207;244;professional;village;yes;sev_a_year;7g;f
541;262;618;;197;234;262;277;general;village;yes;sev_a_year;3g;f
418;422;;;221;221;232;426;professional;village;yes;sev_a_year;9g;m
;255;;;235;174;268;255;professional;village;yes;never;5g;m
363;295;403;363;208;214;267;326;professional;village;yes;never;6g;m
;276;;;164;234;276;288;general;village;yes;sev_a_year;1g;f
;270;;;201;120;371;289;general;village;yes;sev_a_year;1g;f
;;;;162;173;255;265;general;village;yes;sev_a_year;1g;f
;254;;;237;215;217;270;professional;village;yes;never;5g;m
;;;;310;313;205;333;professional;village;yes;never;5g;f
;238;;;233;234;212;246;professional;village;yes;sev_a_year;5g;f
;240;;;232;234;235;251;professional;village;yes;never;9g;f
333;258;760;276;196;210;258;269;general;village;yes;sev_a_year;2g;f
;253;;487;227;229;206;262;professional;village;yes;sev_a_year;8g;f
;218;;;217;317;277;221;professional;village;yes;never;10g;f
676;320;;;183;184;199;332;professional;village;yes;never;4g;m
;338;;;238;240;459;451;professional;village;yes;never;6g;f
;238;;;238;192;247;250;professional;village;yes;never;5g;m
534;281;;;215;255;387;428;professional;village;yes;never;6g;m
;191;;;209;210;197;206;general;village;yes;sev_a_year;7g;f
;272;;;268;349;210;289;higher;village;yes;sev_a_year;9g;f
;;;;307;177;374;256;professional;village;yes;sev_a_year;1g;f
;;;;258;182;378;267;professional;village;yes;min_once_a_month;6g;f
;267;;;260;262;215;292;higher;village;yes;sev_a_year;7g;f
;356;;;237;238;362;361;professional;village;yes;sev_a_year;7g;f
;274;;286;464;225;203;385;professional;village;yes;sev_a_year;5g;f
;272;;;264;267;294;277;higher;village;yes;sev_a_year;8g;f
;329;;;303;304;329;344;professional;village;yes;never;6g;m
446;;466;;375;376;514;;professional;village;yes;sev_a_year;1g;f
;335;;;237;265;339;353;professional;village;yes;never;9g;m
;247;;;243;244;254;257;professional;village;yes;sev_a_year;8g;f
;236;;;232;210;177;237;professional;village;yes;sev_a_year;8g;f
;295;;;224;226;296;296;professional;village;yes;never;8g;f
378;288;;291;240;242;378;307;professional;village;yes;min_once_a_month;3g;f
;274;;;221;248;278;321;professional;village;yes;never;6g;m
;353;;;260;288;391;359;higher;village;yes;never;8g;m
307;;;;225;212;272;225;general;village;yes;sev_a_year;5g;f
;228;;;247;248;228;224;professional;village;yes;sev_a_year;6g;f
;233;;;219;219;286;236;professional;village;yes;sev_a_year;8g;f
;234;;;228;230;251;239;higher;village;yes;sev_a_year;7g;f
;258;;;201;206;286;296;professional;village;yes;never;7g;f
391;;397;;295;215;358;404;professional;village;yes;never;6g;f
;323;;341;231;220;376;334;general;village;yes;never;9g;f
;276;;;205;167;276;250;general;village;yes;never;7g;f
;;;;154;200;282;291;general;village;yes;sev_a_year;1g;f
;;;;208;209;218;231;general;village;yes;sev_a_year;4g;f
;216;;227;229;200;184;254;general;village;yes;sev_a_year;5g;f
;242;;;248;237;203;258;professional;village;yes;sev_a_year;8g;f
;271;;;218;221;185;259;professional;village;yes;sev_a_year;9g;f
;243;;;235;235;202;252;professional;village;yes;never;6g;f
;282;;;259;262;449;314;general;village;no;never;7g;m
234;236;;;230;208;183;245;professional;village;yes;sev_a_year;11g;f
269;;;;230;262;185;292;professional;village;yes;sev_a_year;10g;m
;248;;;254;254;217;262;professional;village;yes;never;7g;m
;269;;;266;268;209;;higher;village;no;never;11g;m
;244;;;213;213;213;267;professional;village;no;never;7g;m
;286;;;256;262;212;295;professional;village;yes;never;10g;m
253;270;;;206;207;182;272;professional;village;yes;sev_a_year;5g;f
;310;;;202;153;177;330;professional;village;yes;never;3g;m
;268;;;225;225;285;271;professional;village;yes;never;5g;m
;260;;;242;242;257;306;professional;village;yes;sev_a_year;6g;f
;219;;;397;400;196;265;higher;village;yes;sev_a_year;5g;f
508;247;;;230;216;254;264;general;village;yes;never;6g;f
;258;;;229;260;277;193;professional;village;yes;never;5g;m
;259;;;238;238;196;269;professional;village;yes;never;6g;f
381;235;448;267;199;202;245;244;professional;city;yes;sev_a_year;8g;f
;288;;296;280;282;280;;higher;city;yes;sev_a_year;9g;m
;234;;;232;233;234;249;professional;city;yes;sev_a_year;10g;f
196;225;837;;375;213;196;211;general;city;yes;sev_a_year;2g;f
