partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
274;279;;;309;218;256;284;professional;town;yes;sev_a_year;7g;m
;248;;;310;240;308;259;higher;town;yes;sev_a_year;9g;m
229;235;245;245;154;164;518;251;general;town;yes;sev_a_year;2g;f
249;263;844;;193;195;271;264;professional;town;yes;never;3g;f
646;229;670;;443;200;229;245;general;village;yes;sev_a_year;5g;f
;204;;330;261;270;204;214;professional;village;yes;sev_a_year;8g;f
244;254;326;;274;237;244;253;general;village;yes;sev_a_year;2g;f
406;224;489;404;257;210;239;237;general;village;yes;never;7g;f
;198;;;187;198;198;221;general;village;yes;sev_a_year;3g;f
;262;;;269;270;211;275;higher;village;no;never;7g;f
312;234;417;322;306;224;253;266;general;village;yes;never;7g;f
238;240;;;240;242;200;248;professional;village;yes;sev_a_year;7g;f
208;209;;;218;206;210;212;general;village;yes;sev_a_year;9g;f
;227;;;219;235;230;253;professional;village;yes;sev_a_year;9g;f
203;212;244;244;269;225;238;214;general;village;yes;sev_a_year;9g;f
;207;;;217;204;207;218;general;village;yes;sev_a_year;7g;f
;227;;;246;252;227;235;professional;village;yes;sev_a_year;7g;f
;297;;;197;257;435;303;general;village;no;never;2g;m
232;282;563;563;220;201;242;282;general;village;yes;never;5g;f
;320;;;244;280;208;349;professional;village;yes;never;3g;m
;297;;;329;331;188;317;higher;village;no;never;7g;m
;;;;206;253;155;225;general;village;no;never;7g;f
;309;;;213;207;218;319;general;village;no;never;7g;m
;248;;;235;250;213;268;professional;village;yes;sev_a_year;8g;f
;241;;;276;244;207;253;higher;village;no;never;7g;f
;277;;;273;238;285;282;professional;village;yes;never;7g;m
;;;;220;204;;;professional;village;yes;sev_a_year;8g;m
510;232;;;234;232;222;253;professional;village;yes;never;7g;f
;272;;;397;250;205;285;professional;village;yes;never;7g;m
;248;;;243;249;212;256;general;village;no;never;6g;m
272;274;310;315;254;256;250;;professional;village;yes;never;6g;m
343;251;;257;183;332;343;343;general;village;yes;never;2g;m
215;223;;;271;342;262;217;professional;village;yes;sev_a_year;9g;f
;254;;402;240;242;219;262;professional;village;yes;never;5g;f
;312;;;196;205;312;275;general;village;yes;never;3g;f
;225;;;229;229;185;232;professional;village;no;never;6g;f
255;268;;;155;369;237;267;general;village;yes;never;3g;f
;252;;;248;261;252;317;professional;village;yes;sev_a_year;7g;m
252;253;352;309;249;225;265;252;professional;village;no;never;11g;m
;278;;;261;265;278;288;general;village;no;never;7g;m
372;;;;249;236;372;378;professional;village;yes;never;9g;m
;262;;;263;227;205;265;higher;village;yes;sev_a_year;7g;f
;;;;257;258;328;;general;village;yes;never;11g;f
;242;;;243;177;206;254;professional;village;yes;sev_a_year;6g;f
;257;;;203;165;215;268;general;village;yes;sev_a_year;8g;f
;246;;261;217;241;233;275;general;village;no;never;8g;m
;269;;;217;231;269;282;general;village;yes;sev_a_week;6g;f
632;251;;;446;215;251;277;general;village;yes;never;4g;f
;284;;351;243;248;177;292;general;village;no;never;8g;f
;228;;;230;187;228;241;general;village;yes;never;5g;f
292;299;;;225;227;292;301;general;village;yes;sev_a_year;3g;f
381;256;425;;232;246;256;268;general;village;yes;never;8g;f
174;179;197;;195;174;191;195;general;village;yes;never;6g;f
292;;;;241;195;205;298;professional;village;yes;sev_a_year;8g;f
;290;;;359;151;290;305;professional;village;yes;never;6g;m
;213;;;278;298;179;230;professional;village;yes;sev_a_year;6g;f
;322;;;229;233;220;455;professional;village;yes;never;9g;m
;235;;;187;200;235;252;general;village;yes;min_once_a_month;10g;f
;220;;;346;209;208;244;higher;village;yes;min_once_a_month;7g;m
236;255;286;286;249;204;216;267;professional;village;no;never;7g;f
;588;;;224;225;203;284;professional;village;yes;min_once_a_month;4g;f
;252;;;473;236;248;264;higher;village;yes;never;9g;f
;;;;250;250;207;;professional;village;yes;sev_a_year;3g;f
271;274;;;213;213;216;281;professional;village;yes;min_once_a_month;7g;m
;244;;;265;208;244;169;higher;village;no;never;6g;f
;240;;;278;280;261;259;higher;village;yes;sev_a_year;9g;f
202;207;;;220;221;296;213;professional;village;no;never;7g;f
;233;;;190;174;233;264;general;village;yes;min_once_a_month;2g;f
248;254;383;383;206;234;255;264;general;village;no;never;9g;m
257;259;;;304;234;234;277;higher;village;yes;sev_a_year;9g;f
;235;;;287;287;206;297;higher;village;yes;never;3g;f
;;;;190;211;234;234;general;village;yes;never;1g;f
;240;;;227;240;237;283;general;village;yes;never;3g;m
;;;;460;230;221;;professional;village;yes;sev_a_year;1g;f
;306;;;295;138;306;340;general;village;yes;never;1g;m
;241;;;216;241;241;282;general;village;yes;never;2g;f
;285;;;231;285;285;295;general;village;yes;never;1g;m
;285;;;256;205;285;;general;village;yes;never;2g;f
;228;;;156;248;228;234;general;village;yes;never;1g;f
;239;;409;157;213;244;409;general;village;yes;never;2g;f
;271;;;209;259;271;306;general;village;yes;never;1g;m
;305;;;230;254;544;320;professional;town;yes;min_once_a_month;4g;m
;300;;;237;237;322;316;general;town;no;never;5g;m
;;;;258;257;321;;professional;town;yes;never;9g;f
;356;;;253;230;230;375;higher;town;yes;never;6g;f
;400;;;255;256;400;418;higher;town;yes;never;6g;f
;228;;;269;317;228;;higher;town;yes;min_once_a_month;11g;m
;229;;;267;196;;;general;town;yes;never;11g;f
377;242;405;277;303;305;209;254;higher;town;yes;never;6g;f
;271;;;237;228;204;292;professional;town;yes;sev_a_year;6g;f
;;;;155;120;384;380;general;town;yes;never;1g;f
;215;;;266;267;215;228;higher;town;yes;never;6g;f
;289;;343;240;241;243;312;professional;town;yes;never;8g;f
;540;;;242;243;209;;professional;town;yes;never;7g;f
;250;;315;245;253;250;264;professional;town;yes;never;8g;f
;280;;;245;232;343;299;professional;town;yes;sev_a_year;5g;m
;372;;;292;290;372;396;higher;town;yes;never;7g;f
200;284;;;256;230;207;315;professional;town;yes;sev_a_year;6g;m
;256;;;237;;256;270;professional;town;yes;never;9g;f
;285;;;279;;285;;higher;town;yes;never;10g;f
;250;;;222;357;;260;professional;town;yes;sev_a_year;8g;m
;286;;;169;140;286;307;general;town;yes;never;1g;f
;329;;;158;192;329;353;general;town;yes;once_a_week;3g;m
;274;;;220;291;274;363;general;town;yes;never;3g;f
;368;;;241;242;361;386;general;town;yes;sev_a_year;7g;m
193;217;;;237;251;193;204;professional;town;yes;never;6g;f
;271;;;195;220;221;294;professional;town;yes;min_once_a_month;4g;f
;311;;;265;266;311;331;higher;town;yes;sev_a_year;10g;m
;277;;;240;240;452;385;professional;town;yes;sev_a_year;8g;m
;263;;;309;237;168;273;higher;town;yes;never;7g;f
;287;;;144;145;169;318;general;town;yes;sev_a_year;3g;m
;288;;;257;246;288;301;professional;town;yes;sev_a_year;9g;m
;286;;;226;203;286;312;general;town;yes;never;4g;f
;255;;;243;244;255;266;professional;town;yes;never;10g;f
;253;;;218;241;;267;professional;town;yes;min_once_a_month;10g;m
;282;;;263;266;282;302;higher;town;yes;never;8g;f
;362;;;216;217;207;428;general;town;yes;sev_a_year;8g;m
;340;;;302;326;302;359;higher;town;yes;once_a_week;7g;m
;239;;;204;175;239;261;general;town;yes;never;3g;f
;290;;;210;177;407;328;general;town;yes;min_once_a_month;4g;m
;330;;;205;254;415;349;general;town;yes;never;4g;m
;319;;;265;270;319;338;higher;town;yes;never;9g;f
;263;;;213;;204;274;professional;town;yes;never;11g;f
;344;;;221;245;343;356;general;town;yes;min_once_a_month;9g;m
;;;;265;242;;;professional;town;yes;min_once_a_month;11g;m
;252;;;237;231;;268;general;town;yes;min_once_a_month;10g;m
;209;;;214;161;300;274;general;town;yes;never;4g;f
;293;;;206;208;293;323;general;town;yes;never;7g;f
;282;;;268;269;;348;higher;town;yes;sev_a_year;7g;m
175;216;;;203;211;175;186;general;town;yes;never;5g;f
;259;;;259;247;202;271;professional;town;yes;never;9g;f
;319;;;242;241;406;334;professional;town;yes;min_once_a_month;4g;m
;;;;303;303;;;higher;town;yes;min_once_a_month;11g;m
;236;;;253;412;236;259;professional;town;yes;never;8g;f
243;484;;;242;479;209;261;professional;town;yes;never;7g;f
;255;;;256;257;211;265;higher;town;yes;sev_a_year;7g;m
;220;;;233;;220;234;general;town;yes;never;10g;f
;243;;357;243;358;243;255;professional;town;yes;never;9g;f
;288;;384;241;242;288;316;professional;town;yes;never;7g;f
;290;;351;247;235;189;548;higher;town;yes;sev_a_year;2g;m
;;;;270;273;213;;higher;town;yes;never;10g;f
;310;;;262;263;;;higher;town;yes;min_once_a_month;11g;m
;359;;;270;271;213;372;higher;town;yes;sev_a_year;5g;m
;;;;283;285;214;;higher;town;yes;never;6g;f
;332;;;265;268;208;344;higher;town;yes;never;3g;f
;;;;328;244;447;;higher;town;yes;never;6g;f
;;;;263;266;206;;higher;town;yes;never;7g;f
;297;;;266;269;309;315;higher;town;yes;never;9g;f
;263;;;293;281;263;279;higher;town;yes;never;7g;f
;;;;278;269;221;;higher;town;yes;never;6g;m
;254;;;273;262;254;260;higher;town;yes;sev_a_year;10g;m
;238;;385;267;294;238;506;higher;town;yes;never;6g;m
310;282;458;308;355;278;308;308;higher;town;yes;never;6g;m
;;;;541;242;;;higher;town;yes;never;6g;f
;278;;;242;267;209;343;professional;town;yes;sev_a_year;6g;m
;254;;;213;256;254;385;general;town;yes;never;7g;f
;270;;326;259;261;466;285;higher;town;yes;sev_a_year;7g;m
;244;;;227;;244;264;general;town;yes;never;7g;f
;;;;264;254;207;;higher;town;yes;never;6g;f
;301;;;263;264;206;353;higher;town;yes;never;4g;f
;;;;215;324;;;general;village;yes;never;10g;m
;;;;212;;;;general;village;yes;never;10g;f
;271;;;270;333;271;293;higher;village;yes;never;10g;f
;284;;;256;291;;333;professional;village;yes;never;8g;m
;;;;230;326;230;239;general;village;yes;never;8g;f
;205;;;245;201;205;232;professional;village;yes;never;9g;f
;;;;238;238;;;professional;village;yes;never;6g;f
;235;;;211;;235;297;general;village;yes;never;11g;f
;288;;;204;310;207;302;general;village;yes;min_once_a_month;9g;m
;;;;211;;;;general;village;yes;never;10g;m
;310;;;283;256;310;323;general;village;yes;never;7g;f
;297;;;213;235;237;311;general;village;yes;never;7g;m
;345;;;190;285;348;367;general;village;yes;never;4g;m
;;;;292;282;330;355;higher;village;yes;never;3g;f
;331;;;335;348;;360;higher;village;yes;never;6g;m
;307;;;228;228;203;322;general;village;yes;sev_a_year;9g;m
;235;;;228;;355;246;general;village;yes;min_once_a_month;8g;f
;252;;;225;239;252;265;general;village;yes;never;8g;f
;239;;;229;;241;248;general;village;yes;never;8g;f
;239;;;214;270;239;264;general;village;yes;never;7g;f
;;;;226;454;265;300;general;village;yes;sev_a_year;6g;f
;239;;;215;392;239;264;general;village;yes;never;8g;f
;;;;277;279;220;;higher;village;yes;never;11g;f
;293;;;293;276;214;280;higher;village;yes;min_once_a_month;8g;m
;;;;271;274;;;higher;village;yes;never;9g;f
;336;;;225;269;339;352;general;village;yes;min_once_a_month;4g;m
;324;;;261;259;;337;higher;village;yes;min_once_a_month;8g;m
;;;;274;277;229;;professional;village;yes;never;11g;f
;297;;;147;431;297;298;general;village;yes;never;3g;f
;323;;;381;262;323;348;higher;village;yes;never;5g;f
;324;;;245;229;212;343;general;village;yes;min_once_a_month;8g;m
;326;;;233;302;225;343;general;village;yes;min_once_a_month;5g;m
;217;;;235;;217;234;general;village;yes;never;9g;f
;242;;;233;247;242;252;general;village;yes;never;7g;f
;317;;;281;214;209;343;general;village;yes;min_once_a_month;6g;m
;211;;;220;;211;221;general;village;yes;never;10g;f
;285;;;224;244;285;299;general;village;yes;never;4g;f
;222;;;271;271;222;334;professional;village;yes;never;3g;f
;;;;213;;353;279;general;village;yes;never;7g;f
;230;;;241;;230;256;general;village;yes;never;9g;f
;311;;;481;313;;344;general;village;yes;never;7g;m
;373;;;219;316;373;409;general;village;yes;never;6g;m
;212;;;704;263;616;453;professional;village;yes;never;3g;f
;;;;211;;;;general;village;yes;never;11g;m
;305;;;474;235;212;320;professional;village;yes;never;8g;m
;293;;;280;388;341;320;general;village;yes;never;8g;m
;284;;;214;325;284;298;general;village;yes;never;7g;f
;275;;;285;309;346;289;general;village;yes;never;8g;f
;;;;240;326;;;professional;village;yes;never;8g;f
;;;;214;224;;;general;village;yes;sev_a_year;11g;m
;282;;;203;238;282;298;general;village;yes;min_once_a_month;3g;m
;;;;222;253;497;;general;village;yes;never;3g;f
;;;;163;221;221;236;general;village;yes;never;1g;f
;305;;;232;504;459;311;general;village;yes;never;6g;m
;309;;;212;;310;335;general;village;yes;never;7g;f
;227;;;243;330;227;242;professional;village;yes;never;7g;f
;353;;;279;281;221;;higher;village;yes;never;9g;m
;314;;;231;;315;323;general;village;yes;never;8g;f
;339;;;270;297;282;354;higher;village;no;never;7g;f
;255;;;303;303;255;289;higher;village;yes;min_once_a_month;11g;f
;502;;;270;284;508;512;professional;village;yes;never;5g;m
;295;;;212;240;295;311;general;village;yes;sev_a_year;7g;m
225;;;;300;315;;;higher;village;yes;never;11g;f
348;349;;;225;234;217;375;general;village;yes;never;5g;m
;356;;;233;264;376;376;general;village;yes;never;7g;m
234;235;;;244;324;235;240;professional;village;yes;never;9g;f
;;;;276;279;255;;higher;village;yes;never;11g;f
;245;;;230;325;244;252;general;village;yes;never;6g;f
;361;;;167;430;155;378;general;village;yes;sev_a_year;2g;f
;314;;;373;429;318;338;general;village;yes;min_once_a_month;2g;m
;277;;;202;222;277;345;general;village;yes;never;2g;f
;232;;;244;;224;254;general;village;yes;never;8g;f
;266;;;229;222;314;291;general;village;yes;sev_a_year;8g;m
;320;;;312;256;216;335;general;village;yes;sev_a_year;6g;m
;253;;;214;313;331;264;general;village;yes;sev_a_year;7g;m
;275;;;212;255;275;294;general;village;yes;never;5g;f
;308;;;227;154;;322;general;village;yes;min_once_a_month;9g;m
;321;;;212;451;211;335;general;village;yes;sev_a_year;9g;m
;;;;225;285;219;271;general;village;yes;never;7g;f
;292;;;227;282;292;306;general;village;yes;never;6g;f
;334;;;195;339;334;347;general;village;yes;never;3g;f
;;;;245;245;284;298;general;village;yes;never;3g;f
;329;;;244;364;;338;general;village;yes;min_once_a_month;8g;m
;;;;206;;;;general;village;yes;sev_a_year;9g;f
;271;;;221;277;;393;general;village;yes;never;8g;m
;357;;;165;209;329;380;general;village;yes;min_once_a_month;1g;m
;332;;;229;308;332;346;general;village;yes;once_a_week;7g;m
;;327;;249;292;267;;professional;village;yes;never;11g;f
;;;;227;503;259;;general;village;yes;never;8g;m
;217;;;204;430;217;412;general;village;yes;sev_a_year;3g;f
;317;;;318;318;317;333;higher;village;yes;never;6g;m
;298;;;249;249;343;;general;village;yes;never;9g;m
;;;;219;;241;;general;village;yes;sev_a_year;11g;m
;218;;;208;256;218;248;general;village;yes;never;10g;f
;263;;;231;323;263;289;general;village;yes;never;8g;f
;238;;;228;;238;263;general;village;yes;never;8g;f
;;;;156;;;;general;village;yes;never;6g;m
;274;;;252;209;274;287;professional;village;yes;sev_a_year;7g;m
;243;;;148;220;243;275;general;village;yes;never;2g;f
;245;;;205;311;227;260;general;village;yes;never;9g;m
;324;;;216;263;324;390;general;village;yes;never;5g;f
;240;;;278;304;395;314;higher;village;yes;never;5g;m
;238;;;219;238;238;273;general;village;yes;never;7g;f
;245;;;255;305;337;359;general;village;yes;never;7g;m
;321;;;240;281;;345;general;village;yes;never;8g;m
;239;;;229;208;239;410;general;village;yes;never;3g;f
;263;;;267;269;203;291;higher;village;yes;never;8g;f
;245;;;210;318;245;377;general;village;yes;never;6g;f
;204;;;220;;;218;general;village;yes;never;9g;f
;;;;166;259;224;388;general;village;yes;never;1g;f
;281;;;258;261;281;313;higher;village;yes;never;6g;f
;232;;;273;280;268;251;higher;village;yes;never;9g;m
;;;;152;255;234;317;general;village;yes;never;1g;f
;170;;;220;338;170;240;general;village;yes;never;10g;f
;;;;144;273;283;333;general;village;yes;never;3g;f
;207;;;221;;207;236;professional;village;yes;never;9g;f
;287;;;237;250;352;300;professional;village;yes;never;9g;m
;234;;;224;236;501;247;general;village;yes;never;6g;m
;268;;;239;;268;281;professional;village;yes;never;8g;f
;308;;;218;290;304;322;general;village;yes;never;8g;m
;285;;;222;;382;300;general;village;yes;never;9g;m
;250;;;255;260;250;322;professional;village;yes;never;6g;f
;320;;;269;260;308;321;general;village;yes;never;8g;f
;246;;;215;254;278;255;general;village;yes;never;10g;m
;180;;;217;;232;201;general;village;yes;never;11g;f
;343;;;271;273;214;368;professional;village;yes;never;5g;m
;259;;;235;;259;285;general;village;yes;never;6g;f
;309;;;230;234;307;315;professional;village;yes;never;7g;f
;310;;;212;222;366;322;general;village;yes;never;8g;m
;209;;;252;;205;222;general;village;yes;never;9g;f
;251;;;215;;256;263;general;village;yes;never;8g;f
;230;;;241;254;230;244;professional;village;yes;never;9g;f
219;224;281;373;372;231;330;258;professional;city;yes;never;4g;m
226;229;;;221;220;188;235;professional;city;yes;sev_a_year;7g;f
240;246;438;;237;235;238;254;professional;city;no;never;6g;f
;231;;345;256;266;211;253;higher;city;yes;min_once_a_month;6g;f
255;;352;;235;238;255;265;professional;city;yes;sev_a_year;11g;f
321;268;709;613;153;164;321;277;general;city;yes;sev_a_year;1g;f
250;253;263;427;253;254;250;296;professional;city;yes;sev_a_year;7g;m
;;;;299;308;;359;higher;city;yes;sev_a_year;11g;f
;249;;;237;239;168;261;professional;city;yes;sev_a_year;8g;f
309;368;;;238;479;342;;professional;city;yes;sev_a_year;5g;m
;222;;;288;211;222;278;higher;city;no;never;7g;f
228;237;270;270;220;235;265;293;professional;city;no;never;10g;f
;287;;;209;192;287;342;general;city;yes;sev_a_year;2g;f
;241;;360;276;278;204;249;higher;city;yes;sev_a_year;8g;f
;340;;381;274;193;640;;higher;city;yes;min_once_a_month;4g;f
272;318;;;257;258;326;;professional;city;yes;sev_a_year;11g;f
;251;;;353;211;247;260;higher;city;no;sev_a_year;6g;f
269;;337;;266;268;208;284;higher;city;yes;sev_a_year;9g;f
455;285;;401;210;210;513;311;professional;city;yes;never;6g;m
;319;;;283;205;301;326;higher;city;no;never;4g;m
;250;;;420;287;250;255;higher;city;yes;sev_a_year;10g;f
;259;;;253;254;228;269;professional;city;no;never;4g;m
243;248;685;;414;247;255;219;general;city;no;sev_a_year;4g;f
;265;;;228;259;227;282;professional;city;no;never;4g;m
;269;;;247;245;245;317;professional;city;yes;never;5g;f
;244;;;214;203;244;256;professional;city;yes;sev_a_year;9g;f
;;;;228;219;283;;professional;city;no;never;11g;m
;;;;270;272;212;;professional;city;yes;never;11g;m
;236;;;380;207;200;287;higher;city;no;never;9g;f
545;249;690;440;238;215;214;330;professional;city;yes;sev_a_year;2g;f
;218;;;227;228;218;237;professional;city;no;never;8g;f
;232;;;212;213;328;237;professional;city;yes;sev_a_year;10g;f
;240;;;234;202;240;250;professional;city;yes;never;4g;f
;252;;;219;245;252;265;professional;city;yes;never;6g;m
;;;;198;221;229;261;general;city;no;never;1g;f
276;278;517;;205;193;253;284;general;city;no;never;5g;f
;315;;;512;225;319;328;professional;city;yes;sev_a_year;3g;f
;251;;;254;255;251;275;professional;city;no;never;5g;m
233;242;935;;454;215;233;242;general;city;yes;never;1g;f
;229;;;228;229;229;235;professional;city;yes;min_once_a_month;6g;f
;225;;;234;253;225;235;professional;city;yes;never;8g;f
197;;247;;220;243;220;;professional;city;no;never;9g;m
;272;;;224;253;254;309;general;city;yes;sev_a_year;7g;f
444;460;;;250;249;251;460;professional;city;no;sev_a_year;2g;f
;269;;;364;223;243;278;professional;city;no;never;5g;m
203;217;;;220;211;229;215;general;city;yes;sev_a_year;8g;f
293;305;;;354;245;172;308;professional;city;yes;never;6g;m
;249;;;247;201;237;258;professional;city;yes;sev_a_year;6g;f
;252;;;233;237;188;281;professional;city;yes;sev_a_year;4g;f
239;;266;;265;206;436;264;professional;city;yes;sev_a_year;7g;f
;283;;475;343;237;283;291;higher;city;yes;never;7g;f
552;310;;536;318;210;247;316;higher;city;no;never;5g;m
;262;;420;230;206;264;304;general;city;yes;sev_a_year;5g;f
558;;;;254;256;254;;higher;city;yes;sev_a_year;6g;f
;280;;;229;242;400;302;professional;city;no;never;9g;m
;;;;287;236;210;;higher;city;yes;min_once_a_month;11g;f
;324;;;221;221;556;332;professional;city;no;never;6g;m
;274;;;278;280;220;286;higher;city;no;never;4g;f
288;;810;;274;277;487;;higher;city;yes;never;1g;f
236;;;;331;176;255;256;professional;city;no;sev_a_year;8g;m
247;248;;;252;248;210;256;professional;city;yes;sev_a_year;10g;f
;227;;383;223;224;235;236;professional;city;yes;sev_a_year;5g;f
207;209;392;392;204;205;181;211;professional;city;no;never;5g;m
275;278;;;217;217;201;285;professional;city;yes;sev_a_year;9g;m
;272;;;244;186;161;234;professional;city;no;never;5g;m
;302;;;229;229;430;313;professional;city;no;never;1g;m
;309;;;304;266;266;;higher;city;no;never;2g;f
252;258;402;;221;235;252;261;professional;city;yes;sev_a_year;6g;f
295;349;;;307;339;222;340;higher;city;yes;sev_a_year;9g;f
;;;;345;251;252;266;general;city;yes;sev_a_year;2g;f
;298;;;261;214;216;;professional;city;yes;never;6g;f
;;;;263;265;206;;higher;city;yes;never;6g;f
499;284;846;;208;209;265;307;general;city;yes;sev_a_year;1g;f
211;221;482;;154;193;262;222;general;city;yes;never;2g;f
241;244;555;;212;214;241;252;professional;city;yes;sev_a_year;2g;f
257;395;345;;225;226;226;275;professional;city;yes;sev_a_year;4g;f
253;255;386;391;213;225;226;263;general;city;no;sev_a_week;2g;f
;248;;;254;254;211;260;professional;city;yes;sev_a_year;5g;f
286;288;379;;322;324;262;298;higher;city;yes;sev_a_year;5g;f
226;241;334;;247;211;226;258;professional;city;yes;sev_a_year;9g;f
423;247;612;302;218;220;185;433;professional;city;yes;once_a_week;5g;f
260;262;;;475;248;211;270;higher;city;yes;sev_a_year;4g;f
;279;;;231;235;188;321;professional;city;yes;never;2g;m
241;245;641;;222;201;194;273;general;city;yes;sev_a_year;3g;f
;219;;492;382;281;204;222;professional;city;yes;min_once_a_month;4g;f
;234;;;303;212;234;242;higher;city;yes;sev_a_year;9g;f
;;;;266;267;356;300;higher;city;yes;never;9g;f
367;229;422;362;200;200;188;238;professional;city;yes;sev_a_year;3g;f
;262;;;227;269;232;262;professional;city;no;never;8g;m
601;222;672;;193;214;222;231;general;city;yes;never;3g;f
;240;;;208;209;313;296;professional;city;yes;sev_a_year;3g;m
177;;351;;229;205;177;;professional;city;no;never;10g;f
275;292;;;218;280;279;286;professional;city;yes;never;6g;m
213;247;;;206;219;213;320;general;city;yes;never;6g;f
240;;315;;234;238;240;287;professional;city;yes;never;11g;f
291;303;;;270;271;205;374;higher;city;yes;never;7g;f
;254;;;211;201;200;264;professional;city;yes;sev_a_year;6g;m
;229;;;164;212;229;239;general;village;yes;never;2g;f
;265;;;233;235;265;274;professional;village;yes;never;2g;f
;273;;;211;212;273;284;professional;village;no;never;5g;m
;243;;;230;219;243;258;professional;village;yes;sev_a_year;7g;f
;260;;;253;219;260;268;professional;village;no;never;2g;f
272;275;;;229;206;217;284;professional;village;no;never;8g;m
;230;;;227;230;182;236;professional;village;yes;never;8g;f
270;290;;;226;228;205;291;higher;village;no;never;7g;m
;244;;;250;217;299;256;professional;village;yes;sev_a_year;2g;f
;209;;;202;203;192;247;professional;village;yes;sev_a_year;4g;f
;259;;;216;217;259;511;professional;village;yes;sev_a_year;4g;m
346;260;;;206;194;260;362;general;village;no;never;9g;m
;229;;262;211;202;229;244;general;village;yes;sev_a_year;6g;f
;315;;;287;215;315;363;professional;village;yes;never;3g;f
;244;;;323;217;237;257;professional;village;yes;never;4g;f
443;271;;440;355;199;211;310;general;city;yes;sev_a_year;2g;f
;252;;456;223;225;;256;professional;city;yes;sev_a_year;6g;f
219;221;;;211;212;175;233;professional;city;yes;sev_a_year;9g;f
;214;;303;261;211;265;249;general;city;yes;never;11g;m
;280;;;238;215;280;282;general;city;yes;sev_a_year;6g;f
357;367;;;295;213;492;368;higher;city;yes;never;6g;f
271;318;419;419;303;224;175;361;higher;city;yes;sev_a_year;7g;f
325;328;704;;283;286;385;334;higher;city;yes;min_once_a_month;5g;f
;295;;;313;217;181;320;higher;city;yes;sev_a_year;4g;f
246;255;;;283;284;200;260;higher;city;yes;sev_a_year;8g;f
517;;;;239;224;;343;professional;city;yes;sev_a_year;7g;f
270;317;439;;247;201;250;424;professional;city;yes;never;4g;f
;241;;;280;244;262;259;professional;city;yes;min_once_a_month;5g;f
;217;;;225;222;218;230;general;city;no;never;11g;f
;;;;376;229;271;243;professional;city;yes;sev_a_year;9g;f
;;;;307;307;243;367;professional;city;yes;sev_a_year;7g;f
;;;;484;212;251;269;professional;city;yes;sev_a_year;2g;f
416;445;693;;205;193;393;437;general;city;no;never;5g;f
;279;;;198;201;259;285;general;city;no;never;6g;m
;249;;;217;200;249;259;general;city;yes;never;1g;f
272;273;;;308;311;309;;higher;city;yes;sev_a_year;3g;f
294;306;;;320;283;205;319;general;city;no;never;8g;m
213;265;673;;206;194;231;243;general;city;yes;min_once_a_month;5g;f
;269;;;273;274;226;282;higher;city;yes;sev_a_year;1g;f
;391;;;276;207;391;;higher;city;yes;never;5g;f
;;;;340;272;;;higher;city;yes;never;11g;m
;263;;;224;224;696;318;professional;city;yes;sev_a_year;4g;f
252;255;329;;223;224;403;269;general;city;no;never;6g;f
;278;;;279;209;278;294;professional;city;no;never;6g;f
257;279;;;252;233;197;283;general;city;yes;never;10g;m
277;298;;;216;252;336;336;professional;city;no;never;9g;m
274;281;;;248;251;214;307;professional;city;yes;never;7g;m
;189;;;257;246;190;261;general;city;yes;min_once_a_month;2g;f
284;301;;;208;205;186;294;general;city;no;never;9g;m
249;265;;;216;253;222;339;professional;city;yes;never;8g;m
455;;;;228;229;341;319;professional;city;no;never;7g;f
442;451;;;306;212;211;452;higher;city;yes;sev_a_year;4g;f
283;285;;;248;285;215;296;professional;city;yes;sev_a_year;5g;f
;268;;;230;207;362;278;general;city;yes;never;8g;m
508;273;;335;272;268;215;289;higher;city;yes;sev_a_year;2g;m
259;262;267;267;227;228;167;330;general;city;yes;sev_a_year;8g;m
306;308;314;314;402;215;277;;professional;city;yes;never;6g;m
228;236;;;382;181;214;242;professional;city;yes;sev_a_year;7g;f
;220;;;212;209;166;227;professional;city;yes;min_once_a_month;8g;f
369;;427;;332;213;216;;higher;city;yes;sev_a_year;6g;f
262;270;403;406;295;246;204;273;higher;city;yes;never;8g;m
;243;;;233;233;186;254;professional;city;yes;never;4g;f
324;270;;301;241;272;196;271;professional;city;no;never;4g;m
335;360;473;524;311;311;275;;professional;city;yes;never;6g;m
250;;503;;402;236;236;260;higher;city;yes;never;8g;f
;228;;;351;232;228;233;professional;city;yes;min_once_a_month;7g;f
230;262;264;477;226;207;260;284;general;city;yes;sev_a_year;7g;f
;260;;;360;247;260;268;higher;city;yes;sev_a_year;5g;m
;238;;;221;194;238;246;professional;city;yes;sev_a_year;6g;f
403;405;579;;273;276;191;420;higher;city;yes;never;5g;m
;;;;160;160;160;295;general;city;yes;sev_a_year;2g;f
356;214;466;343;319;200;178;221;professional;city;yes;sev_a_year;6g;f
;264;;;243;263;244;280;professional;city;yes;sev_a_year;9g;m
210;225;;;311;309;212;225;general;city;yes;never;5g;f
;243;;461;262;209;230;329;professional;city;yes;sev_a_year;6g;f
;300;;;311;277;217;311;higher;city;no;never;7g;m
;247;;;428;203;203;255;general;city;no;sev_a_week;3g;f
;233;;;472;215;233;238;higher;city;yes;never;8g;f
;270;;;268;290;270;289;professional;city;yes;sev_a_year;9g;m
256;266;287;306;235;237;213;286;professional;city;no;sev_a_week;7g;f
;248;;;238;238;182;259;professional;city;yes;never;5g;f
;282;;;230;194;194;417;general;city;yes;min_once_a_month;5g;f
