partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
0;1;0;0;1;1;1;1;;235;;;160;184;235;243;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;min_once_a_month;3g;f
0;1;0;0;1;1;1;1;;338;;;234;254;215;346;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;no;never;5g;m
0;1;0;0;1;1;1;1;;317;;;242;244;317;359;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;sev_a_year;5g;f
1;0;0;0;1;1;1;1;311;;;;249;213;222;323;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;professional;town;yes;never;9g;m
1;1;0;0;1;1;1;1;339;348;;;237;284;348;350;<;<;<;>;>;<;<;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;town;yes;never;2g;m
0;1;0;0;1;1;1;1;;206;;;320;187;206;224;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;general;town;yes;min_once_a_month;2g;f
0;1;0;0;1;1;1;1;;228;;;205;182;183;238;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;363;;;377;177;215;371;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;never;3g;m
0;1;0;1;1;1;1;1;;276;;331;271;322;209;282;>;n;>;>;>;>;>;<;<;>;<;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;>;<;higher;town;yes;sev_a_year;9g;m
0;1;0;0;1;1;1;1;;301;;;308;215;313;308;>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;higher;town;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;;254;;;213;228;254;250;>;n;n;>;>;>;>;<;<;>;>;=;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;general;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;;253;;;288;211;215;268;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;never;5g;m
0;1;0;0;1;1;1;1;;285;;;236;253;202;294;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;;293;;;213;215;306;303;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;never;7g;f
0;1;0;0;1;1;1;1;;222;;;213;214;203;227;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;sev_a_year;8g;f
0;1;0;0;1;1;1;1;;270;;;231;231;464;278;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;town;yes;never;7g;m
0;1;0;0;1;1;1;1;;272;;;248;274;302;293;>;n;n;>;>;>;>;<;<;>;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;sev_a_year;6g;m
1;1;0;1;1;1;1;1;516;235;;436;220;290;163;244;>;<;>;>;>;>;>;<;<;>;<;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;>;<;professional;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;;231;;;219;219;210;243;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;254;;;209;234;254;263;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;never;5g;f
0;1;0;0;1;1;1;1;;242;;;231;232;209;252;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;sev_a_year;8g;f
0;1;0;0;1;1;1;1;;295;;;217;218;198;299;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;min_once_a_month;5g;f
0;1;0;0;1;1;1;1;;216;;;546;220;216;225;>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;general;town;yes;never;2g;f
0;1;0;0;1;1;1;1;;269;;;264;207;206;291;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;higher;town;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;;234;;;216;217;183;249;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;sev_a_year;5g;f
0;1;0;0;1;1;1;1;;228;;;300;193;228;257;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;;328;;;331;254;328;334;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;town;yes;never;4g;m
1;1;0;0;1;1;1;1;326;336;;;221;221;637;336;<;<;<;>;>;<;<;<;<;>;>;<;=;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;town;yes;sev_a_year;3g;m
0;1;0;0;1;1;1;1;;276;;;252;254;265;286;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;sev_a_year;3g;f
1;1;0;1;1;1;1;1;386;225;;321;235;188;225;239;>;<;>;>;>;>;>;<;<;<;>;=;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;general;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;277;;;219;220;305;303;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;250;;;284;241;259;257;>;n;n;>;>;>;>;<;<;<;>;<;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;>;professional;town;yes;never;6g;m
0;1;0;0;1;1;1;1;;276;;;294;215;276;283;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;4g;m
0;1;0;0;1;1;1;1;;302;;;276;278;302;310;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;higher;town;yes;sev_a_year;8g;f
1;1;0;1;1;1;1;1;357;229;;319;224;189;189;234;>;<;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;=;<;<;general;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;;242;;;304;231;209;266;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;;237;;;223;268;237;244;>;n;n;>;>;>;>;<;<;>;<;=;<;n;>;>;>;>;>;>;>;>;<;<;<;>;>;<;professional;town;yes;sev_a_year;10g;f
0;1;0;0;1;1;1;1;;283;;;353;212;210;303;>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;town;yes;sev_a_year;9g;m
