partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;6g;m
<;<;<;>;>;<;<;>;n;>;>;>;n;<;>;>;<;<;>;>;>;n;<;<;<;<;<;<;professional;village;yes;sev_a_year;1g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;9g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;village;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;=;professional;village;yes;never;8g;f
>;<;>;>;>;=;>;<;<;>;>;<;<;>;>;>;>;>;>;>;<;<;<;<;<;<;<;>;professional;village;yes;min_once_a_month;3g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;6g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;higher;village;yes;never;8g;m
<;<;<;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;<;=;<;<;>;general;village;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;<;<;=;>;n;>;>;>;>;>;>;>;>;<;>;>;>;>;>;professional;village;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;>;professional;village;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;higher;village;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;village;yes;never;7g;f
<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;<;>;>;>;>;>;<;<;<;<;<;professional;village;yes;never;6g;f
>;n;>;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;<;>;>;<;<;<;<;>;general;village;yes;never;9g;f
>;n;n;>;>;>;>;<;<;>;>;=;>;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;general;village;yes;never;7g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;1g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;village;yes;sev_a_year;4g;f
>;n;>;>;>;>;>;<;<;<;>;>;<;>;>;>;>;>;<;>;>;<;>;>;<;>;<;<;general;village;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;<;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;>;<;<;professional;village;yes;sev_a_year;8g;f
>;n;n;>;>;>;>;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;village;yes;sev_a_year;9g;f
