,work,separation,partner,marriage,children,gender,generation,Text
640,0.058602413,0.048237441,0.043735465,0.04388143,0.066674416,1,5,5
659,0.046881931,0.03751801,0.055884205,0.080449288,0.064293186,0,1,1
664,0.052742172,0.050917299,0.051024709,0.053632859,0.057149499,0,5,5
665,0.070322896,0.040197867,0.048594961,0.048757144,0.050005812,0,4,4
667,0.064462655,0.040197867,0.048594961,0.048757144,0.050005812,1,5,5
670,0.046881931,0.06163673,0.051024709,0.051195002,0.050005812,1,4,4
671,0.04395181,0.053597157,0.051024709,0.051195002,0.052387041,0,3,3
675,0.055672293,0.06163673,0.058313953,0.058508573,0.061911957,0,6,6
678,0.049812051,0.045557583,0.051024709,0.051195002,0.05476827,1,5,5
688,0.046881931,0.056277014,0.055884205,0.056070716,0.069055645,0,6,6
694,0.046881931,0.048237441,0.048594961,0.048757144,0.047624583,0,6,6
696,0.061532534,0.053597157,0.048594961,0.046319287,0.047624583,0,6,6
702,0.052742172,0.050917299,0.058313953,0.060946431,0.064293186,0,5,5
710,0.052742172,0.053597157,0.048594961,0.051195002,0.059530728,0,3,3
723,0.052742172,0.064316588,0.070462694,0.060946431,0.059530728,1,1,1
725,0.052742172,0.042877725,0.102049418,0.136520005,0.05476827,1,3,3
733,0.052742172,0.069676304,0.06317345,0.063384288,0.064293186,1,2,2
735,0.055672293,0.06163673,0.055884205,0.056070716,0.05476827,0,6,6
736,0.052742172,0.048237441,0.048594961,0.048757144,0.047624583,1,3,3
747,0.055672293,0.077715877,0.070462694,0.07069786,0.071436874,1,6,6
751,0.046881931,0.042877725,0.046165213,0.046319287,0.047624583,0,3,3
772,0.061532534,0.056277014,0.058313953,0.058508573,0.061911957,0,3,3
806,0.064462655,0.058956872,0.053454457,0.053632859,0.047624583,0,5,5
821,0.064462655,0.045557583,0.053454457,0.051195002,0.052387041,0,4,4
824,0.052742172,0.048237441,0.043735465,0.04388143,0.042862124,1,5,5
827,0.049812051,0.048237441,0.043735465,0.056070716,0.05476827,1,6,6
832,0.049812051,0.053597157,0.048594961,0.048757144,0.042862124,1,4,4
839,0.049812051,0.042877725,0.053454457,0.053632859,0.05476827,0,4,4
841,0.04395181,0.042877725,0.041305717,0.041443573,0.047624583,1,4,4
843,0.052742172,0.048237441,0.043735465,0.04388143,0.042862124,1,5,5
868,0.049812051,0.045557583,0.051024709,0.051195002,0.052387041,1,6,6
875,0.04395181,0.053597157,0.055884205,0.056070716,0.05476827,0,5,5
881,0.049812051,0.056277014,0.053454457,0.053632859,0.05476827,0,5,5
882,0.070322896,0.066996446,0.06317345,0.065822145,0.066674416,0,5,5
893,0.058602413,0.053597157,0.046165213,0.051195002,0.050005812,0,5,5
899,0.049812051,0.053597157,0.055884205,0.063384288,0.057149499,1,5,5
900,0.052742172,0.048237441,0.051024709,0.053632859,0.052387041,1,3,3
902,0.061532534,0.06163673,0.055884205,0.056070716,0.05476827,0,5,5
910,0.055672293,0.045557583,0.041305717,0.046319287,0.045243353,0,4,4
913,0.049812051,0.042877725,0.038875969,0.04388143,0.059530728,1,5,5
914,0.067392775,0.064316588,0.080181686,0.058508573,0.059530728,0,5,5
919,0.073253017,0.066996446,0.060743701,0.060946431,0.061911957,1,5,5
929,0.058602413,0.072356161,0.065603198,0.065822145,0.066674416,1,6,6
930,0.049812051,0.048237441,0.046165213,0.051195002,0.047624583,1,6,6
932,0.046881931,0.050917299,0.068032946,0.073135717,0.088105478,0,4,4
948,0.076183137,0.080395735,0.072892442,0.068260002,0.066674416,1,2,2
