gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;;237;;;244;237;;223;work
m;higher;town;yes;sev_a_year;9g;0;1;0;0;1;1;1;0;;283;;;303;210;212;;education
m;professional;town;yes;never;6g;0;1;0;0;1;0;1;1;;267;;;277;;246;218;sep
m;professional;village;no;never;8g;0;0;0;0;0;1;1;1;;;;;;216;245;220;child
f;professional;village;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;707;291;;;305;291;249;247;br
f;professional;village;yes;never;9g;0;1;0;0;1;1;0;1;;215;;;219;215;;217;work
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;254;;;;254;227;225;child
m;general;village;yes;never;2g;0;1;0;0;0;1;1;1;;284;;;;251;198;281;child
m;professional;village;yes;never;1g;1;1;0;0;1;1;1;0;293;302;;;302;218;442;;education
f;professional;village;yes;never;11g;0;0;0;0;0;1;1;1;;;;;;210;232;232;child
f;professional;village;yes;sev_a_year;4g;0;0;0;0;1;1;0;1;;;;;213;182;;206;work
f;professional;village;yes;sev_a_year;1g;0;1;0;0;1;1;1;0;;286;;;303;286;231;;education
f;professional;village;yes;sev_a_year;2g;1;0;0;0;1;1;1;1;355;;;;365;237;233;348;marriage
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;260;;;;211;242;241;child
m;professional;village;yes;never;6g;0;1;0;0;1;1;0;1;;240;;;243;201;;246;work
m;higher;village;yes;never;4g;0;1;0;0;1;0;0;1;;282;;;293;;;291;sep
f;general;village;yes;sev_a_year;1g;1;1;0;0;1;1;1;1;570;215;;;199;215;221;151;br
f;professional;village;yes;sev_a_year;11g;0;1;0;0;1;0;0;1;;223;;;231;;;226;work
f;general;village;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;320;;;;320;267;195;child
f;professional;village;yes;sev_a_year;7g;0;1;0;0;1;1;0;1;;245;;;254;245;;291;work
f;higher;village;yes;sev_a_year;5g;0;1;0;0;1;1;0;1;;240;;;249;205;;262;work
f;professional;village;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;211;;;221;;232;278;sep
m;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;;250;;;258;;253;212;sep
f;general;village;yes;once_a_week;1g;0;1;0;0;0;1;1;1;;237;;;;237;197;173;child
f;general;village;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;;238;;;241;238;232;173;div
m;professional;village;yes;never;11g;1;1;0;0;0;1;1;1;254;261;;;;254;248;225;child
f;professional;village;yes;never;9g;1;1;1;0;1;1;1;1;366;367;385;;381;367;241;239;div
f;professional;village;yes;sev_a_year;6g;1;1;0;1;1;1;1;1;472;221;;414;230;213;221;222;br
f;general;village;yes;never;1g;0;0;0;0;0;1;1;1;;;;;;220;212;138;child
f;general;village;yes;sev_a_year;1g;1;0;0;0;1;1;1;1;246;;;;255;246;191;191;br
f;professional;village;yes;sev_a_year;4g;1;1;1;0;1;0;1;1;268;230;393;;241;;257;228;sep
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;240;;;;212;212;221;child
f;professional;village;yes;never;9g;1;1;0;0;1;1;1;0;213;217;;;217;204;262;;education
f;professional;village;yes;never;2g;1;1;0;0;1;1;1;1;275;297;;;282;308;179;256;br
f;general;village;yes;sev_a_year;5g;1;1;0;1;1;1;1;1;364;250;;281;264;250;245;209;br
f;general;village;yes;sev_a_year;2g;0;0;0;0;0;1;1;1;;;;;;249;244;172;child
m;professional;village;yes;never;6g;1;0;1;0;1;1;1;1;282;;312;;291;514;186;218;marriage
f;professional;village;yes;never;5g;0;1;0;1;1;1;1;1;;244;;509;261;317;206;294;partner
m;higher;village;yes;never;4g;0;1;0;0;1;1;1;0;;281;;;412;262;294;;education
f;professional;village;yes;never;9g;0;1;0;1;1;1;1;1;;224;;319;234;248;222;221;partner
m;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;284;;;;284;263;237;child
f;professional;village;yes;never;9g;0;0;0;0;1;0;1;1;;;;;320;;272;270;sep
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;240;;;;196;258;231;child
m;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;259;;;;254;230;230;child
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;;;;;;280;251;132;child
f;general;village;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;;251;;;;256;192;157;child
f;general;village;yes;sev_a_year;1g;0;0;0;0;0;1;1;1;;;;;;281;201;153;child
m;professional;village;yes;never;8g;1;0;0;0;1;1;1;1;278;;;;283;301;243;283;marriage
m;general;village;yes;never;1g;0;1;0;0;0;1;1;1;;284;;;;302;136;169;child
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;288;;;;278;277;208;child
f;general;village;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;220;;;;220;175;201;child
f;general;village;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;263;;;;263;209;209;child
m;general;village;yes;never;1g;1;1;0;0;1;1;1;1;243;260;;;259;243;242;155;br
m;general;village;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;301;;;;261;212;209;child
m;professional;village;yes;never;3g;0;1;0;0;1;0;1;1;;288;;;298;;245;221;sep
f;higher;village;yes;never;9g;0;1;0;0;1;0;1;1;;272;;;280;;256;253;sep
f;general;village;yes;sev_a_year;3g;0;1;0;0;1;0;1;1;;231;;;245;;207;172;sep
m;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;;296;;;;216;289;312;child
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;248;;;;185;249;206;child
f;general;village;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;306;;;;306;221;183;child
m;professional;village;yes;never;4g;0;1;0;0;1;0;1;1;;344;;;296;;254;228;sep
f;general;village;yes;never;8g;0;1;0;0;0;1;1;1;;212;;;;212;211;209;child
