gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;professional;city;yes;never;6g;0;1;0;0;1;0;1;1;;268;;;273;;229;228;sep
f;professional;city;yes;never;7g;0;1;0;0;1;1;0;1;;232;;;245;182;;216;work
m;professional;city;no;never;10g;1;1;0;0;1;1;1;1;258;279;;;312;258;253;242;br
f;professional;city;yes;never;5g;1;1;0;0;1;1;1;1;208;242;;;235;172;233;231;br
f;professional;city;yes;never;9g;1;1;0;0;0;1;1;1;228;230;;;;191;181;236;child
f;professional;city;yes;sev_a_year;5g;1;1;0;0;1;1;1;1;257;261;;;268;244;223;221;br
f;professional;city;yes;never;10g;1;1;0;0;1;1;1;1;211;221;;;228;205;252;234;br
f;professional;city;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;223;;;;221;225;223;child
f;professional;city;yes;never;6g;0;1;0;0;0;1;1;1;;284;;;;214;278;247;child
f;professional;city;yes;never;7g;0;1;0;0;0;1;1;1;;262;;;;262;218;241;child
f;general;city;yes;never;7g;1;1;0;0;1;0;1;1;340;348;;;246;;219;219;sep
m;professional;city;yes;never;7g;1;1;0;0;1;1;1;1;258;262;;;271;345;206;219;br
f;professional;city;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;;263;;;;263;210;245;child
f;general;city;yes;sev_a_year;10g;1;1;0;0;1;1;1;1;251;295;;;251;229;216;351;br
f;general;city;yes;sev_a_year;8g;1;0;0;0;1;1;1;1;263;;;;262;277;206;229;br
f;professional;city;yes;sev_a_year;2g;0;1;0;0;1;1;1;1;;309;;;333;239;219;408;div
f;professional;city;yes;never;5g;0;1;0;0;1;1;1;1;;232;;;248;232;235;234;partner
f;professional;city;yes;sev_a_year;8g;1;0;0;0;0;1;1;1;319;;;;;250;232;223;br
f;higher;city;yes;sev_a_year;4g;0;0;0;0;0;1;1;1;;;;;;237;310;309;child
m;professional;city;yes;sev_a_year;9g;0;1;0;0;1;0;1;1;;260;;;265;;224;223;sep
m;professional;city;yes;never;11g;0;0;0;0;0;0;1;0;;;;;;;212;;education
m;general;city;yes;never;7g;1;1;0;0;0;0;1;1;263;295;;;;;205;215;br
f;professional;city;yes;min_once_a_month;5g;0;1;0;0;1;1;1;0;;326;;;339;329;258;;education
f;higher;city;yes;min_once_a_month;5g;1;0;0;0;1;1;1;1;283;;;;299;297;250;274;br
m;professional;city;no;never;5g;0;1;0;0;0;1;1;1;;309;;;;208;220;218;child
f;higher;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;0;;320;;;327;212;242;;education
m;general;city;yes;sev_a_year;1g;0;1;0;0;0;1;1;1;;294;;;;219;127;191;child
f;higher;city;yes;sev_a_year;9g;1;0;1;0;0;1;1;1;226;;293;;;295;264;262;child
f;professional;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;256;;;;199;221;255;child
f;general;city;yes;sev_a_year;1g;0;0;0;0;0;1;0;1;;;;;;216;;228;work
m;professional;city;yes;sev_a_year;10g;0;1;0;0;0;1;1;1;;294;;;;191;195;193;child
f;professional;city;yes;never;5g;1;1;0;0;1;1;1;1;231;232;;;256;303;224;235;br
m;professional;city;no;never;11g;1;1;0;0;0;1;1;1;219;243;;;;185;216;206;child
f;professional;city;yes;never;10g;1;1;0;0;0;1;1;1;246;260;;;;246;213;250;child
m;professional;city;yes;never;5g;0;1;0;1;1;1;1;1;;279;;322;294;219;207;220;partner
f;professional;city;yes;sev_a_year;9g;1;1;0;0;1;0;1;1;216;217;;;221;;224;223;sep
f;professional;city;yes;never;6g;0;1;0;0;0;1;1;1;;351;;;;286;263;266;child
f;professional;city;no;never;6g;1;1;0;0;1;1;1;1;219;234;;;246;219;211;210;br
f;general;city;yes;never;9g;0;0;0;0;0;0;1;1;;;;;;;210;221;child
m;professional;city;yes;never;7g;0;1;0;0;1;0;1;1;;270;;;276;;244;214;sep
f;professional;city;yes;sev_a_year;8g;0;1;0;0;1;1;1;1;;226;;;234;203;233;232;partner
m;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;264;;;;220;247;217;child
f;general;city;no;never;1g;1;1;0;0;1;1;1;1;421;265;;;271;210;188;186;br
m;general;city;no;never;11g;0;0;0;0;0;0;1;1;;;;;;;245;225;sep
m;professional;city;no;never;4g;0;1;0;0;1;0;1;1;;297;;;305;;221;241;sep
m;higher;city;yes;never;8g;0;1;0;0;1;1;1;0;;265;;;271;183;246;;education
f;general;city;yes;never;3g;0;1;0;0;0;1;1;1;;252;;;;224;223;269;child
f;higher;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;300;;;;216;301;300;child
m;professional;city;yes;sev_a_year;11g;1;0;0;0;0;1;1;1;280;;;;;280;217;217;child
m;professional;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;445;;;;204;252;225;child
f;higher;city;yes;never;5g;0;0;0;0;0;1;0;1;;;;;;212;;269;work
m;professional;city;yes;never;9g;1;1;0;0;0;1;1;1;264;267;;;;203;263;262;child
f;professional;city;no;never;7g;1;1;0;0;1;0;1;1;333;336;;;359;;222;257;sep
f;general;city;yes;sev_a_year;2g;0;0;0;0;1;1;1;0;;;;;239;227;268;;education
f;professional;city;no;never;8g;1;1;0;0;1;1;1;1;237;249;;;259;208;231;230;br
f;higher;city;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;;240;;;248;182;;263;work
f;general;city;yes;never;3g;0;1;0;0;0;1;1;1;;238;;;;206;200;188;child
m;general;city;yes;sev_a_year;8g;1;0;0;0;1;1;1;1;359;;;;380;217;229;218;marriage
f;higher;city;yes;sev_a_year;10g;1;1;0;0;1;0;1;1;217;249;;;253;;227;367;sep
m;professional;city;no;never;7g;1;0;0;0;1;1;1;1;350;;;;370;350;206;218;br
m;professional;city;yes;never;4g;0;1;0;0;1;0;1;1;;269;;;280;;193;214;sep
f;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;233;;;;193;227;226;child
f;professional;city;no;sev_a_year;9g;1;1;0;0;0;1;1;1;346;355;;;;208;230;229;child
m;general;city;no;never;6g;0;1;0;0;0;1;1;1;;315;;;;246;200;236;child
m;professional;city;yes;sev_a_year;5g;1;1;0;1;1;1;1;1;435;212;;421;276;214;237;236;br
f;professional;city;yes;never;9g;0;1;0;0;0;1;1;1;;219;;;;208;218;217;child
m;professional;city;yes;never;8g;0;1;0;0;0;1;1;1;;267;;;;267;219;231;child
m;professional;city;yes;never;7g;0;1;0;0;0;1;1;1;;334;;;;334;215;214;child
f;professional;city;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;265;;;;182;216;215;child
f;general;city;yes;min_once_a_month;6g;0;1;0;0;1;1;1;1;;262;;;268;222;210;231;div
m;general;city;yes;sev_a_year;11g;1;1;0;0;0;1;1;1;293;324;;;;315;188;323;child
f;general;city;yes;sev_a_year;5g;0;1;0;0;0;0;1;1;;391;;;;;214;208;sep
f;general;city;yes;never;4g;0;1;0;0;0;1;1;1;;242;;;;244;183;243;child
f;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;0;;243;;;252;295;230;;education
f;general;city;yes;sev_a_year;5g;0;1;0;0;1;0;1;1;;229;;;238;;197;210;sep
f;professional;city;yes;sev_a_year;6g;1;0;0;0;1;1;1;1;302;;;;245;196;221;256;marriage
f;general;city;yes;sev_a_year;5g;0;1;0;0;1;0;1;1;;247;;;258;;213;221;sep
f;professional;city;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;359;;;;188;223;221;child
f;professional;city;yes;never;10g;0;1;0;0;1;1;1;0;;224;;;236;318;277;;education
m;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;0;;299;;;309;201;251;;education
f;general;city;yes;sev_a_year;3g;0;1;0;0;1;0;1;1;;238;;;248;;181;203;div
m;general;city;yes;never;6g;0;1;0;0;0;1;1;1;;260;;;;216;202;212;child
m;professional;city;no;never;10g;1;0;0;0;0;1;1;1;326;;;;;206;239;201;br
f;professional;city;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;218;;;;187;204;204;child
f;professional;city;yes;never;6g;1;1;0;0;1;1;1;1;237;240;;;268;208;219;218;br
m;professional;city;yes;never;5g;1;1;0;0;1;1;1;1;257;258;;;259;257;190;214;br
f;professional;city;yes;never;6g;0;1;0;0;0;1;1;1;;267;;;;210;241;239;child
f;general;city;yes;never;1g;0;1;0;0;0;1;1;1;;275;;;;211;220;219;child
m;higher;city;yes;never;4g;0;1;0;1;1;0;1;1;;283;;452;306;;213;291;partner
f;higher;city;yes;min_once_a_month;2g;0;1;0;0;1;1;1;0;;242;;;253;243;250;;education
m;higher;city;yes;never;11g;1;0;0;0;0;1;1;1;301;;;;;306;262;221;child
f;higher;city;yes;never;11g;0;1;0;0;1;0;1;1;;255;;;272;;286;271;sep
m;general;city;yes;never;10g;1;1;0;0;1;0;1;1;259;265;;;270;;226;256;sep
f;professional;city;yes;never;5g;0;1;0;0;0;1;1;1;;249;;;;261;234;219;child
f;professional;village;yes;never;2g;1;0;0;0;1;1;1;1;267;;;;290;211;246;245;marriage
f;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;;266;;;;235;248;272;child
f;professional;village;yes;never;5g;1;1;0;0;0;1;1;1;241;264;;;;174;232;234;child
m;professional;village;no;never;5g;0;1;0;0;1;0;1;1;;284;;;333;;194;219;sep
f;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;227;;;;227;223;221;child
m;professional;village;no;never;6g;0;1;0;0;1;1;1;1;;266;;;245;395;253;253;partner
f;general;village;yes;never;6g;0;1;0;0;1;1;0;1;;247;;;254;247;;231;work
m;general;village;yes;never;9g;1;0;0;0;0;1;1;1;320;;;;;301;250;250;br
f;professional;village;no;never;10g;0;1;0;0;0;1;1;1;;225;;;;225;222;222;child
m;professional;village;yes;sev_a_year;7g;0;1;0;1;1;1;1;1;;206;;262;211;224;217;215;partner
f;general;village;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;263;;;;210;138;162;child
f;professional;village;yes;never;7g;1;1;0;0;0;1;1;1;235;274;;;;274;273;271;child
m;professional;village;yes;never;10g;0;0;0;0;0;1;0;1;;;;;;197;;229;work
m;professional;village;no;never;7g;1;0;0;0;0;1;1;1;254;;;;;254;242;206;child
f;general;village;yes;never;5g;1;0;0;0;1;1;1;1;583;;;;222;442;199;193;br
f;general;village;yes;sev_a_year;1g;0;0;0;0;1;0;1;1;;;;;309;;137;162;sep
m;professional;village;yes;sev_a_year;6g;1;1;0;0;1;0;1;1;240;241;;;249;;266;265;sep
m;general;village;yes;never;2g;0;1;0;0;1;0;1;1;;276;;;284;;177;177;sep
f;general;village;yes;never;1g;1;0;0;0;0;1;1;1;592;;;;;243;137;195;br
f;higher;village;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;256;266;;;;210;301;276;br
f;professional;village;no;never;11g;0;1;0;0;0;1;0;1;;243;;;;202;;247;child
f;general;village;yes;never;8g;0;0;0;0;1;0;1;1;;;;;324;;227;215;sep
m;professional;village;yes;never;3g;0;1;0;0;1;1;1;0;;281;;;295;231;195;;education
m;professional;village;yes;sev_a_year;6g;0;1;0;0;0;0;1;1;;251;;;;;195;214;sep
m;professional;village;yes;never;8g;0;1;0;0;1;0;1;1;;252;;;264;;188;200;sep
f;general;village;yes;sev_a_year;2g;0;0;0;0;0;1;1;1;;;;;;266;226;236;child
m;general;village;yes;never;6g;0;1;0;0;0;1;1;1;;253;;;;209;212;222;child
m;professional;village;yes;never;7g;0;1;0;0;1;0;1;1;;285;;;300;;212;211;sep
f;professional;village;no;never;9g;0;1;0;0;0;1;1;1;;247;;;;247;221;219;child
m;general;village;no;never;2g;0;1;0;0;1;1;0;1;;284;;;298;239;;311;work
f;higher;village;yes;sev_a_year;8g;0;0;0;0;1;1;1;0;;;;;250;375;222;;education
f;professional;village;no;never;9g;1;1;0;0;0;1;1;1;276;281;;;;207;230;228;child
f;professional;village;yes;never;8g;0;1;0;0;1;1;1;1;;230;;;247;185;220;219;div
f;general;village;yes;sev_a_year;7g;1;1;0;1;1;1;1;1;292;246;;276;253;292;211;233;br
f;professional;village;yes;never;5g;0;0;0;0;1;1;1;0;;;;;292;232;264;;education
f;professional;village;yes;never;5g;0;1;0;0;1;1;1;1;;273;;;281;186;233;231;div
m;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;355;;;;229;219;291;child
f;professional;village;yes;min_once_a_month;5g;0;1;0;0;0;1;1;1;;277;;;;277;245;248;child
m;professional;village;yes;never;4g;0;1;0;0;1;0;1;1;;293;;;281;;237;225;sep
f;general;village;yes;never;3g;0;1;0;0;0;1;1;1;;239;;;;241;186;198;child
f;professional;village;yes;sev_a_year;10g;1;1;0;0;1;1;1;0;264;279;;;291;264;258;;education
f;general;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;249;;;;249;207;228;child
m;general;village;no;never;2g;0;1;0;0;0;1;1;1;;276;;;;227;239;238;child
f;higher;village;no;never;9g;1;1;0;0;1;1;1;0;256;264;;;271;211;247;;education
f;general;village;yes;sev_a_year;9g;1;1;0;0;1;1;1;0;200;218;;;208;200;205;;education
f;general;village;yes;never;5g;0;1;0;0;0;1;1;1;;258;;;;213;214;211;child
f;professional;village;no;never;9g;1;1;1;0;1;1;1;1;238;241;288;;260;218;216;259;div
f;professional;village;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;249;;;;187;230;229;child
f;professional;village;yes;never;6g;0;1;0;0;0;1;1;1;;237;;;;242;207;206;child
f;professional;village;no;sev_a_year;7g;1;0;0;0;0;1;1;1;245;;;;;210;233;231;child
f;professional;village;yes;sev_a_year;9g;0;1;0;0;1;0;1;1;;240;;;252;;185;232;sep
f;general;village;no;never;8g;1;0;0;0;1;0;1;1;214;;;;223;;230;233;sep
m;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;253;;;;216;230;216;child
f;professional;village;no;never;3g;0;1;0;0;1;1;1;0;;220;;;243;220;213;;education
f;higher;village;yes;never;11g;0;1;0;0;1;0;1;0;;231;;;248;;313;;education
f;higher;village;yes;sev_a_year;10g;0;1;0;0;1;1;1;0;;249;;;258;201;249;;education
f;higher;village;yes;sev_a_year;9g;0;0;0;0;1;1;1;0;;;;;350;207;242;;education
f;higher;village;yes;sev_a_year;10g;0;1;0;0;1;1;1;1;;236;;;243;236;272;283;div
f;general;village;yes;sev_a_year;8g;1;1;0;1;1;1;1;1;225;227;;276;246;227;234;217;br
f;professional;village;yes;sev_a_year;2g;0;0;0;0;0;1;1;1;;;;;;193;226;302;child
f;higher;village;yes;never;9g;0;1;0;0;0;1;1;1;;231;;;;173;218;242;child
f;professional;village;yes;never;11g;0;1;0;0;0;1;1;1;;236;;;;239;238;236;child
f;professional;village;no;sev_a_year;7g;0;1;0;0;0;1;1;1;;272;;;;229;206;273;child
f;professional;village;yes;min_once_a_month;6g;1;0;0;0;0;1;1;1;230;;;;;194;216;215;child
m;general;village;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;269;;;284;;207;228;sep
f;higher;village;yes;sev_a_year;10g;0;1;0;0;1;0;1;1;;228;;;240;;240;285;sep
f;professional;village;yes;sev_a_year;4g;0;0;0;0;1;1;1;1;;;;;246;179;226;233;marriage
f;professional;village;yes;never;7g;0;1;0;0;1;1;1;1;;271;;;283;271;233;232;div
f;professional;village;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;208;;;;172;219;218;child
f;professional;village;yes;sev_a_year;9g;1;1;0;1;1;1;1;1;419;229;;363;240;241;229;228;br
f;professional;village;yes;sev_a_year;9g;1;0;0;0;1;1;1;1;211;;;;222;211;191;203;marriage
f;general;village;yes;sev_a_year;6g;0;1;0;1;1;0;1;1;;238;;302;289;;199;226;sep
f;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;218;;;;204;215;213;child
f;professional;village;yes;sev_a_year;5g;0;1;0;1;1;0;1;1;;230;;238;238;;229;227;sep
f;professional;village;yes;sev_a_year;4g;0;0;0;0;1;1;1;1;;;;;233;201;227;224;marriage
f;professional;village;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;232;;;;220;198;231;child
f;general;village;yes;never;1g;0;1;0;0;0;1;1;1;;261;;;;261;232;172;child
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;255;;;;186;221;220;child
f;professional;village;yes;never;6g;1;1;0;0;1;1;1;1;203;216;;;261;253;221;221;br
f;general;village;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;262;;;;262;160;195;child
m;professional;village;yes;never;7g;0;0;0;0;1;0;1;1;;;;;295;;258;213;sep
f;higher;village;yes;never;11g;0;1;0;0;1;1;1;0;;255;;;260;270;203;;education
f;professional;village;yes;never;9g;0;1;0;0;0;1;0;1;;253;;;;253;;247;work
f;general;village;yes;never;1g;0;0;0;0;1;0;1;1;;;;;244;;204;192;sep
f;professional;village;yes;never;3g;1;1;0;0;1;1;1;1;236;301;;;300;236;221;219;br
m;professional;village;yes;sev_a_year;6g;1;1;0;1;0;1;1;1;325;306;;324;;325;178;312;child
f;higher;village;yes;never;7g;0;1;0;0;0;1;1;1;;269;;;;208;256;254;child
f;higher;village;yes;never;6g;0;1;0;0;1;1;1;0;;246;;;255;179;227;;education
f;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;277;;;;277;243;241;child
f;higher;village;yes;never;4g;0;0;0;0;0;1;1;0;;;;;;294;224;;education
m;professional;village;yes;never;2g;0;1;0;0;1;0;1;1;;291;;;300;;206;332;sep
m;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;;247;;;;190;215;214;child
f;higher;village;yes;min_once_a_month;9g;1;1;0;0;1;1;0;1;216;221;;;232;207;;230;work
f;higher;village;yes;never;4g;0;1;0;0;1;1;1;0;;302;;;307;302;232;;education
f;professional;village;yes;never;6g;1;1;0;0;1;1;1;1;241;244;;;251;198;208;208;br
m;higher;village;yes;never;9g;0;1;0;0;0;1;1;1;;253;;;;218;277;275;child
m;professional;village;yes;never;3g;0;1;0;0;1;1;1;0;;208;;;225;198;261;;education
f;general;village;yes;never;6g;0;1;0;0;0;1;1;1;;248;;;;193;193;197;child
f;professional;village;yes;sev_a_year;7g;1;1;1;0;1;1;0;1;212;217;469;;224;212;;215;work
m;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;318;;;;318;221;219;child
f;professional;village;yes;never;10g;0;1;0;0;1;1;1;0;;214;;;229;214;312;;education
f;professional;village;yes;sev_a_year;6g;1;1;0;0;1;1;1;1;402;442;;;311;238;215;214;br
m;professional;village;no;never;7g;0;1;0;0;0;1;1;1;;262;;;;260;247;249;child
f;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;294;;;;209;256;255;child
m;professional;village;no;never;9g;1;1;0;0;1;1;1;1;332;346;;;352;235;247;213;div
f;professional;village;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;236;;;;206;230;227;child
m;professional;village;no;never;7g;0;1;0;0;1;1;1;1;;263;;;276;216;214;212;div
m;professional;village;no;never;9g;0;1;0;0;1;1;0;1;;295;;;342;295;;227;work
m;higher;village;no;never;10g;0;0;0;0;0;1;1;0;;;;;;207;242;;education
f;professional;village;yes;never;5g;0;1;0;0;1;0;1;1;;227;;;240;;212;209;sep
f;general;village;yes;never;5g;0;1;0;0;1;1;0;1;;268;;;296;268;;215;work
f;professional;village;yes;sev_a_year;2g;0;1;0;0;0;1;1;1;;263;;;;213;246;243;child
m;general;village;yes;never;7g;1;1;0;1;0;1;1;1;380;258;;368;;258;213;213;child
f;higher;village;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;273;;;;293;233;285;child
f;general;village;yes;never;4g;0;1;0;0;1;1;1;0;;218;;;241;220;183;;education
f;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;262;;;;202;232;231;child
m;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;;248;;;;248;219;209;child
m;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;244;;;;259;228;249;child
f;general;village;yes;min_once_a_month;2g;0;0;0;0;0;0;1;1;;;;;;;235;152;sep
m;professional;village;yes;never;2g;0;1;0;0;0;1;1;1;;361;;;;250;297;296;child
m;higher;village;yes;never;8g;0;1;0;0;1;1;1;0;;247;;;266;250;256;;education
f;professional;village;no;never;7g;0;1;0;0;0;1;1;1;;261;;;;228;239;237;child
m;general;village;yes;never;2g;0;1;0;0;1;0;1;1;;321;;;335;;215;236;sep
m;professional;village;yes;sev_a_year;8g;0;0;0;0;0;1;1;1;;;;;;238;253;220;marriage
m;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;245;;;;216;242;216;child
f;professional;village;yes;sev_a_year;6g;1;1;0;0;1;0;1;1;245;290;;;256;;259;259;sep
m;professional;village;no;never;9g;1;0;0;0;1;1;1;1;275;;;;304;275;198;198;marriage
f;general;village;yes;never;2g;0;1;0;0;0;1;1;1;;317;;;;317;205;205;child
f;professional;village;yes;never;6g;0;1;0;0;1;0;1;1;;230;;;255;;222;222;sep
f;higher;village;yes;never;5g;1;1;1;0;1;1;1;1;259;261;352;;270;259;259;258;div
m;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;274;;;;228;225;224;child
f;general;village;no;never;6g;0;1;0;0;1;1;1;1;;252;;;262;252;225;221;partner
f;higher;village;yes;never;7g;0;1;0;0;1;1;0;1;;242;;;264;206;;260;work
f;professional;village;yes;never;2g;0;1;0;0;1;0;1;1;;290;;;300;;245;244;sep
f;general;village;yes;never;2g;1;1;0;0;1;1;1;1;575;260;;;270;271;211;213;br
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;242;;;;257;210;212;child
f;professional;village;no;never;9g;0;1;0;0;0;1;1;1;;229;;;;181;204;202;child
f;higher;village;no;never;6g;0;1;0;0;0;1;1;1;;344;;;;265;264;263;child
f;professional;village;no;never;10g;0;1;0;0;0;0;1;1;;295;;;;;246;244;child
f;professional;village;yes;never;9g;0;1;0;0;0;1;1;1;;230;;;;237;236;234;child
f;general;village;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;290;;;;290;179;206;child
f;professional;village;yes;sev_a_year;2g;0;1;0;0;1;1;1;0;;230;;;239;230;287;;education
m;professional;village;yes;never;6g;1;0;0;0;1;1;1;1;252;;;;265;233;215;214;br
f;general;village;yes;never;1g;0;0;0;0;0;0;1;1;;;;;;;236;199;sep
m;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;;287;;;;186;293;295;child
f;higher;village;yes;never;8g;0;1;0;0;0;1;1;1;;291;;;;220;280;278;child
f;professional;village;yes;never;6g;0;1;0;0;1;1;1;1;;376;;;260;253;216;215;div
f;professional;village;yes;never;10g;0;0;0;0;1;1;1;1;;;;;253;210;246;244;marriage
m;general;village;yes;never;10g;0;0;0;0;1;1;1;1;;;;;293;245;245;245;partner
m;professional;village;yes;sev_a_year;6g;1;0;0;0;0;1;1;1;372;;;;;204;229;228;marriage
m;general;village;yes;never;11g;0;0;0;0;0;1;0;1;;;;;;220;;215;work
f;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;275;;;;235;236;233;child
f;professional;village;yes;sev_a_year;10g;1;1;0;0;1;0;1;1;224;228;;;235;;218;215;sep
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;236;;;;186;221;219;child
m;professional;village;yes;never;4g;0;0;0;0;1;1;1;1;;;;;276;186;261;231;partner
f;general;village;yes;sev_a_year;3g;1;0;1;0;1;0;1;1;271;;312;;281;;175;187;sep
f;professional;village;no;never;7g;0;1;0;0;1;0;1;1;;265;;;290;;234;233;sep
f;general;village;yes;never;1g;0;0;0;0;1;0;1;1;;;;;244;;161;158;sep
f;professional;village;yes;sev_a_year;10g;0;0;0;0;0;0;1;1;;;;;;;218;218;sep
f;professional;village;no;never;9g;1;1;0;0;0;1;1;1;222;233;;;;221;219;219;child
f;professional;village;no;never;6g;0;0;0;0;0;1;1;1;;;;;;209;209;302;marriage
f;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;;232;;;;206;216;215;child
f;professional;village;yes;once_a_week;7g;0;1;0;0;1;0;1;1;;276;;;284;;206;419;sep
f;professional;village;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;241;;;;210;221;231;child
f;professional;village;no;never;5g;0;1;0;0;0;1;1;1;;264;;;;228;226;226;child
f;general;village;yes;never;1g;0;0;0;0;0;1;1;1;;;;;;298;167;134;child
m;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;282;;;;211;245;230;child
m;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;258;;;;218;214;222;child
f;professional;village;yes;never;8g;0;1;0;0;1;1;1;0;;227;;;236;209;232;;education
f;general;village;yes;sev_a_year;2g;0;1;0;0;1;0;1;1;;254;;;262;;235;187;sep
f;general;village;yes;never;4g;0;0;0;0;0;1;1;1;;;;;;286;221;256;child
m;professional;village;yes;sev_a_year;3g;0;0;0;0;1;1;1;1;;;;;292;288;267;243;partner
m;higher;village;yes;never;10g;1;1;0;0;0;1;1;1;308;310;;;;308;268;267;child
f;professional;village;yes;never;5g;0;1;0;0;0;1;1;1;;246;;;;246;247;246;child
f;higher;village;yes;never;7g;0;1;0;0;0;1;1;1;;290;;;;223;289;287;child
f;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;271;;;;247;247;245;child
f;professional;village;yes;sev_a_year;5g;0;0;0;0;0;1;1;1;;;;;;224;223;234;child
f;higher;village;no;never;2g;1;1;0;0;1;1;1;1;280;289;;;289;217;276;274;br
m;professional;village;yes;sev_a_year;6g;1;1;0;1;1;1;1;1;471;292;;412;300;292;260;223;br
f;professional;village;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;255;;;;202;230;231;child
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;272;;;;272;212;211;child
f;general;village;no;never;11g;0;1;0;0;1;1;1;1;;203;;;206;203;218;211;div
m;higher;village;no;never;9g;0;1;0;0;1;0;1;1;;249;;;263;;276;271;sep
f;general;village;yes;never;1g;0;1;0;0;0;1;1;1;;247;;;;237;150;182;child
f;professional;village;yes;never;4g;0;1;0;0;1;1;1;0;;272;;;282;286;232;;education
m;general;village;yes;never;3g;0;1;0;0;0;1;1;1;;269;;;;272;217;243;child
m;professional;village;yes;never;7g;0;1;0;1;1;1;1;1;;262;;286;270;222;188;211;partner
f;general;village;yes;never;4g;0;0;0;0;1;1;1;1;;;;;269;231;179;214;marriage
f;professional;village;yes;never;7g;0;1;0;0;0;1;1;1;;250;;;;186;220;219;child
m;professional;village;no;never;2g;0;1;0;1;0;1;1;1;;353;;365;;768;199;212;partner
f;higher;village;yes;never;2g;0;0;0;0;1;1;1;0;;;;;244;177;224;;education
f;general;village;yes;never;2g;0;1;0;0;0;1;1;1;;269;;;;269;199;216;child
f;professional;village;yes;never;9g;1;0;0;0;0;1;1;1;233;;;;;206;229;227;child
f;professional;village;yes;never;5g;0;1;0;0;1;1;1;1;;277;;;357;220;232;314;partner
m;professional;village;yes;never;3g;0;1;0;0;1;0;1;1;;276;;;298;;214;209;sep
m;general;village;yes;never;2g;0;1;0;0;1;0;1;1;;233;;;256;;139;164;sep
f;professional;village;no;never;7g;0;1;0;0;1;1;1;0;;217;;;225;217;207;;education
m;general;village;yes;never;1g;0;1;0;0;1;0;1;1;;312;;;323;;186;207;sep
f;higher;city;yes;sev_a_week;2g;1;1;0;0;1;1;1;1;837;279;;;288;223;254;578;br
m;higher;city;yes;min_once_a_month;1g;0;1;0;0;0;1;1;1;;279;;;;155;234;276;child
f;professional;city;yes;sev_a_year;3g;1;1;0;0;1;1;1;1;274;275;;;287;217;228;283;br
